,caseName,edp
0,specsjeng,0.628849629106452
1,specsjeng_1,0.55477914265344
2,specsjeng_2,0.669731997811324
3,specsjeng_3,0.692552754782772
4,specsjeng_4,0.386070358340836
5,specsjeng_5,0.7920220705450881
6,specsjeng_6,0.4913631581825759
7,specsjeng_7,0.533502226493436
8,specsjeng_8,0.6262779355464939
9,specsjeng_9,0.6327790068134499
10,specsjeng_10,0.628693604384196
11,specsjeng_11,0.6286041302013199
12,specsjeng_12,0.745320858951606
13,specsjeng_13,0.5116690461696
14,specsjeng_14,0.8204711033778002
15,specsjeng_15,0.92005158506593
16,specsjeng_opt,1.1042844597830699
