,caseName,edp
0,speclibm,0.22454252863199997
1,speclibm_1,0.29484129270825
2,speclibm_2,0.238304976772858
3,speclibm_3,0.245979496788988
4,speclibm_4,0.13280697683325
5,speclibm_5,0.2835541137645
6,speclibm_6,0.17680306568325002
7,speclibm_7,0.18919871350575
8,speclibm_8,0.22387300169332797
9,speclibm_9,0.22563765155945
10,speclibm_10,0.22450633806337497
11,speclibm_11,0.22451368326899998
12,speclibm_12,0.24392826248215502
13,speclibm_13,0.20597979265248
14,speclibm_14,0.3285186316692
15,speclibm_15,0.32966623125825
16,speclibm_opt,0.33014439027958
