Benchmarks	sim_seconds
speclibm	0.173625
speclibm_1	0.173625
speclibm_2	0.173627
speclibm_3	0.173627
speclibm_4	0.173625
speclibm_5	0.173625
speclibm_6	0.173625
speclibm_7	0.173625
speclibm_8	0.173732
speclibm_9	0.173413
speclibm_10	0.173625
speclibm_11	0.173625
speclibm_12	0.282465
speclibm_13	0.125763
speclibm_14	0.099812
speclibm_15	0.173625
speclibm_opt	0.099739
