,caseName,edp
0,specbzip,0.12106778001662397
1,specbzip_1,0.15250795367396397
2,specbzip_2,0.125235554897076
3,specbzip_3,0.12894608228053198
4,specbzip_4,0.068842844581952
5,specbzip_5,0.147834655324896
6,specbzip_6,0.095014217699462
7,specbzip_7,0.103107643389666
8,specbzip_8,0.122974710602086
9,specbzip_9,0.11982595083715
10,specbzip_10,0.121242287757549
11,specbzip_11,0.12086805660429199
12,specbzip_12,0.086057934355212
13,specbzip_13,0.15041566603799997
14,specbzip_14,0.299520691025
15,specbzip_15,0.17241220399400398
16,specbzip_opt,0.2014021334528
