Benchmarks	sim_seconds
specmcf	0.064939
specmcf_1	0.064939
specmcf_2	0.057757
specmcf_3	0.057757
specmcf_4	0.064975
specmcf_5	0.064932
specmcf_6	0.064933
specmcf_7	0.064932
specmcf_8	0.065167
specmcf_9	0.064917
specmcf_10	0.064939
specmcf_11	0.064937
specmcf_12	0.063214
specmcf_13	0.066548
specmcf_14	0.064900
specmcf_15	0.066401
specmcf_opt	0.058938
