Benchmarks	sim_seconds
specbzip	0.083706
specbzip_1	0.083706
specbzip_2	0.083694
specbzip_3	0.083703
specbzip_4	0.085408
specbzip_5	0.082284
specbzip_6	0.083273
specbzip_7	0.082969
specbzip_8	0.085939
specbzip_9	0.081839
specbzip_10	0.083923
specbzip_11	0.083569
specbzip_12	0.089916
specbzip_13	0.081675
specbzip_14	0.082678
specbzip_15	0.080431
specbzip_opt	0.078932
