Benchmarks	sim_seconds
spechmmer	0.059376
spechmmer_1	0.059376
spechmmer_2	0.059382
spechmmer_3	0.059378
spechmmer_4	0.059472
spechmmer_5	0.059295
spechmmer_6	0.059371
spechmmer_7	0.059363
spechmmer_8	0.059390
spechmmer_9	0.059390
spechmmer_10	0.059390
spechmmer_11	0.059390
spechmmer_12	0.059840
spechmmer_13	0.059090
spechmmer_14	0.059106
spechmmer_15	0.068822
spechmmer_opt	0.058955
