,caseName,edp
0,specmcf,0.09234416740575599
1,specmcf_1,0.11979350086443599
2,specmcf_2,0.08773691697990799
3,specmcf_3,0.09028987456680801
4,specmcf_4,0.053964979362650004
5,specmcf_5,0.116198940086208
6,specmcf_6,0.07475629760920201
7,specmcf_7,0.082360100341848
8,specmcf_8,0.09203033454665799
9,specmcf_9,0.09300084399135
10,specmcf_10,0.09227372540995699
11,specmcf_11,0.09227373461041599
12,specmcf_12,0.06183495668977799
13,specmcf_13,0.11900909007887998
14,specmcf_14,0.23431109845
15,specmcf_15,0.13804398670599402
16,specmcf_opt,0.07871956651574398
